age,workclass,education,marital_status,hours_per_week,income,Sex
90,0,9,4,40,0,0
82,1,9,4,18,0,0
66,0,10,4,40,0,0
54,1,4,0,40,0,0
41,1,10,2,40,0,0
34,1,9,0,45,0,0
38,1,6,2,40,0,1
74,3,16,3,20,1,0
68,3,9,0,40,0,0
41,1,10,3,60,1,1
45,1,16,0,35,1,0
38,2,15,3,45,1,1
52,1,13,4,20,1,0
32,1,14,2,55,1,1
51,0,16,3,40,1,1
46,1,15,0,40,1,1
45,1,7,0,76,1,1
57,1,14,0,50,1,1
22,1,12,3,40,1,1
34,1,13,2,50,1,1
37,1,13,3,40,1,1
29,1,7,2,42,0,0
61,1,9,0,25,0,0
51,1,10,1,40,0,1
61,0,9,1,32,0,1
21,1,11,1,40,0,1
33,1,2,1,32,0,1
49,1,3,1,40,0,1
37,2,6,3,50,1,1
38,1,6,3,90,1,1
23,1,10,2,40,1,1
59,2,6,4,50,1,0
52,1,15,0,60,1,1
51,1,13,0,50,1,1
60,2,9,3,50,1,1
63,3,16,0,60,1,0
53,1,9,3,48,1,1
51,1,15,3,50,1,0
37,2,16,3,60,1,0
54,1,14,0,40,1,0
44,1,13,0,50,1,1
43,1,14,0,40,1,0
51,1,10,0,40,1,0
43,1,14,0,40,1,0
71,0,9,1,15,0,1
48,1,13,1,70,1,0
71,1,9,1,52,0,1
73,2,9,1,40,0,1
68,0,10,1,40,0,0
67,0,10,1,40,0,1
40,2,15,3,45,1,1
50,1,9,4,72,1,0
51,3,11,0,39,1,1
42,1,10,3,40,1,0
39,1,14,3,45,1,1
32,1,13,3,50,1,1
53,1,10,2,45,1,1
40,3,10,3,40,1,1
38,1,13,3,45,1,0
33,1,11,2,42,1,1
43,1,12,0,70,1,1
50,2,7,3,40,1,1
44,1,10,1,6,1,0
51,2,13,1,40,1,1
41,1,15,1,40,1,1
60,2,11,1,70,1,1
37,1,14,1,60,1,1
55,2,15,1,35,1,1
39,2,13,1,60,1,1
42,2,15,1,60,1,1
49,1,13,1,55,1,1
47,2,9,1,50,1,1
41,3,15,1,45,1,1
55,2,13,1,50,1,1
39,1,14,1,65,1,0
42,1,13,1,60,1,1
41,0,11,1,12,1,1
46,1,14,1,65,1,1
40,1,14,1,45,1,1
32,1,13,1,48,1,1
41,2,10,1,55,1,1
60,2,15,1,80,1,1
31,1,14,1,70,1,1
58,2,10,1,40,1,1
37,2,13,1,50,1,1
44,2,13,1,50,1,1
39,2,15,1,50,1,1
43,3,15,1,55,1,1
55,2,13,1,50,1,1
44,2,14,1,55,1,1
39,1,15,1,67,1,1
46,2,13,1,40,1,1
39,1,10,1,99,1,1
62,2,13,1,60,1,1
31,2,9,1,40,1,0
46,1,13,1,35,1,1
46,2,15,1,80,1,1
39,2,11,1,40,1,1
39,1,15,1,99,1,1
59,1,16,1,45,1,1
50,2,15,1,60,1,1
46,1,16,1,55,1,1
53,2,13,1,40,1,1
50,2,15,1,30,1,1
41,2,15,1,55,1,0
36,1,13,1,45,1,1
38,1,15,1,90,1,1
54,1,10,1,50,1,1
50,1,13,1,20,1,0
47,1,13,1,60,1,1
47,2,15,1,45,1,1
67,1,13,4,40,1,1
67,2,13,1,75,1,1
72,2,16,1,25,1,1
72,0,16,1,6,1,1
46,2,14,1,50,1,1
78,2,13,1,40,1,1
71,2,13,1,60,1,1
83,2,13,1,55,1,1
68,1,14,1,40,1,1
26,1,11,1,45,0,1
68,3,16,1,60,1,1
49,2,9,1,40,1,0
36,1,9,1,60,0,1
70,2,13,1,12,1,1
27,1,10,1,20,0,0
35,3,10,1,40,0,1
23,1,9,1,40,0,1
81,1,9,1,26,1,1
66,2,16,1,25,1,1
71,1,9,1,45,1,1
68,1,10,1,55,1,1
68,3,14,1,42,1,1
65,0,13,1,40,1,1
52,1,9,1,40,0,1
40,2,12,1,50,0,1
68,0,13,1,35,1,1
21,1,10,1,48,0,1
35,1,9,1,40,0,1
70,2,13,1,50,1,1
61,2,9,1,50,0,1
65,2,9,1,65,0,1
46,1,3,0,45,0,0
26,3,13,3,55,0,1
59,3,9,4,40,0,1
61,1,3,3,40,0,1
60,3,13,0,40,0,0
49,2,10,0,50,0,1
34,1,13,1,40,0,1
25,1,13,3,35,0,0
55,1,10,3,45,0,0
59,3,9,2,40,0,0
28,3,10,2,40,0,1
43,0,11,4,36,0,0
56,2,14,0,60,0,0
41,1,9,0,40,0,1
42,1,9,3,40,0,0
28,1,15,3,40,0,1
40,2,15,0,35,0,0
69,1,13,4,40,1,1
66,3,9,1,40,0,1
69,1,3,1,40,0,1
55,3,14,1,40,0,0
57,3,9,3,40,0,1
20,2,10,3,10,0,1
33,1,9,0,84,0,1
30,2,10,3,40,0,1
40,1,13,3,48,0,0
38,1,10,2,55,1,1
46,3,12,0,38,1,1
29,1,13,3,45,1,0
57,3,13,3,40,0,1
39,1,9,3,42,1,1
47,1,13,0,40,1,1
26,1,13,3,45,1,1
27,2,9,3,50,0,1
23,1,13,3,40,1,0
34,1,14,3,50,0,1
33,1,8,0,42,0,1
38,3,14,3,60,0,0
57,1,10,4,38,1,0
36,1,9,3,70,0,1
44,3,13,0,40,1,1
49,3,16,3,50,1,0
44,2,10,3,60,0,1
55,1,10,4,62,1,1
45,1,9,0,44,1,1
48,1,9,0,40,1,0
31,1,13,1,45,1,1
55,3,9,1,40,1,0
70,2,10,1,40,1,1
70,2,14,1,8,1,1
73,1,13,1,40,1,1
72,2,15,1,28,1,1
31,1,9,2,40,0,0
28,1,6,4,35,0,0
23,2,13,3,40,1,1
49,3,5,4,40,1,1
27,3,10,3,40,1,1
90,1,9,3,40,0,1
68,1,9,4,30,0,0
65,1,9,0,59,0,0
65,0,9,4,10,0,0
67,1,13,0,5,0,0
66,3,13,4,25,0,0
24,1,10,3,24,0,1
44,2,10,0,35,0,1
35,1,10,3,40,0,0
20,1,12,3,18,0,0
38,1,9,0,40,0,1
39,1,10,3,40,0,0
32,1,10,3,40,0,0
42,1,4,3,40,0,1
63,0,9,0,40,0,0
42,2,14,0,60,1,1
64,1,7,1,40,0,1
28,1,4,1,40,0,1
41,2,11,1,84,0,1
41,2,4,1,40,0,1
58,2,2,1,18,0,1
59,3,10,1,40,0,1
34,2,9,1,12,0,0
45,1,9,1,45,0,1
29,1,9,1,40,0,0
47,1,6,1,52,0,1
40,1,10,1,40,0,1
47,2,3,1,50,0,1
63,0,13,1,45,0,1
41,2,9,1,40,0,1
34,1,10,1,40,0,1
66,0,13,1,40,1,1
65,2,10,1,10,1,1
70,1,9,1,40,1,1
75,2,15,1,50,1,1
65,3,9,1,40,1,1
65,3,10,1,40,1,1
73,1,10,1,50,1,1
60,0,13,1,25,0,1
68,2,11,1,40,0,1
74,2,9,1,20,0,1
43,1,3,1,72,0,0
19,2,7,1,55,0,1
37,2,9,1,40,0,1
45,3,12,0,40,0,1
64,1,14,1,60,0,1
30,1,9,1,40,0,1
51,2,10,1,60,0,0
35,1,7,1,40,0,1
29,1,9,1,20,0,0
34,1,10,1,40,0,0
41,1,9,1,60,0,1
35,1,10,1,45,0,1
26,1,10,1,40,0,1
54,1,9,1,50,0,1
52,3,9,1,40,0,1
50,2,9,1,20,0,1
31,1,10,1,40,0,1
38,3,9,1,40,0,1
30,1,10,1,40,0,1
34,3,13,1,40,0,1
31,1,10,1,57,0,1
52,1,9,1,38,0,1
54,1,9,1,40,0,1
38,1,9,1,44,0,1
39,1,9,1,40,0,1
29,1,11,1,40,0,1
45,1,9,1,40,0,1
34,1,9,1,55,0,1
38,1,9,1,40,0,1
39,1,6,1,40,0,1
61,1,9,1,20,0,1
43,1,7,1,40,0,1
35,1,10,1,40,0,1
46,1,10,1,50,0,1
38,1,9,1,40,0,1
42,2,9,1,48,0,1
34,1,12,1,10,0,1
29,1,4,1,40,0,1
32,1,7,1,30,0,1
60,1,9,1,34,0,1
49,3,9,1,40,0,1
53,3,9,1,45,0,1
56,1,4,1,40,0,1
48,1,7,1,40,0,1
32,3,13,1,40,0,1
42,2,9,1,40,0,1
32,1,12,1,42,0,1
28,3,12,1,40,0,1
26,1,11,1,40,0,1
59,1,13,1,50,0,1
47,2,13,1,30,0,1
26,0,13,1,40,0,1
41,1,9,1,60,0,1
36,1,9,1,40,0,0
45,1,13,1,55,0,1
30,1,12,1,40,0,1
36,1,9,1,40,0,1
34,2,9,1,40,0,1
53,1,9,1,40,0,1
51,1,9,1,45,0,1
47,2,16,1,45,0,1
19,0,9,3,40,0,1
30,1,9,3,42,0,1
20,1,9,3,40,0,1
42,3,14,0,60,0,1
31,1,7,3,40,0,1
33,1,13,3,40,0,1
25,1,12,3,30,0,0
20,1,9,3,40,0,1
23,1,9,3,40,0,1
55,0,9,2,40,0,0
41,2,10,0,50,0,1
54,2,9,4,35,0,1
25,1,9,3,50,0,1
19,1,10,3,40,0,0
24,1,9,3,37,0,0
56,3,13,3,65,0,1
21,3,10,3,40,0,0
34,1,9,3,40,0,1
19,1,9,3,40,0,1
21,0,10,3,45,0,1
48,1,9,2,40,0,0
34,1,13,3,40,0,1
31,1,9,3,40,0,1
36,1,9,3,40,0,0
27,1,9,3,40,0,1
27,1,10,3,40,0,1
35,1,13,0,65,0,0
31,2,13,1,60,0,1
27,3,9,3,40,0,1
28,3,12,3,40,0,0
42,1,9,0,46,0,1
44,1,10,2,45,0,1
41,1,13,0,56,0,1
28,1,13,3,35,0,0
41,3,9,3,40,0,0
35,1,6,4,40,0,0
58,1,14,0,45,0,0
40,1,9,0,48,0,1
31,1,11,3,60,0,1
30,1,9,3,40,0,0
32,1,10,2,40,0,1
25,1,10,3,40,0,1
34,1,9,3,40,0,1
56,1,10,0,40,0,0
45,1,9,0,40,0,1
50,1,9,3,40,0,1
27,1,6,3,40,0,1
51,1,10,1,40,1,1
40,1,12,1,60,1,1
41,1,14,1,65,1,1
49,1,14,1,45,1,1
37,1,11,1,40,1,1
36,2,13,1,45,1,0
35,1,15,1,80,1,1
29,2,9,1,25,1,0
50,1,13,1,40,1,0
46,1,13,1,40,1,1
44,2,9,1,45,1,1
42,3,14,1,40,1,1
38,3,15,1,50,1,1
45,1,13,1,55,1,1
43,3,14,1,60,1,1
47,2,15,1,60,1,1
58,2,15,1,50,1,1
48,1,15,1,40,1,1
42,3,13,1,48,1,1
55,1,14,1,50,1,1
51,1,6,1,40,1,1
32,1,14,1,40,1,1
45,3,13,1,50,1,1
56,1,14,1,44,1,1
38,1,14,1,60,1,1
45,1,11,1,50,1,1
49,1,14,1,40,1,0
36,1,9,1,40,1,1
49,1,14,1,40,1,1
30,1,16,1,40,1,1
42,2,15,1,50,1,1
55,1,14,1,40,1,1
34,1,13,1,45,1,1
54,1,16,1,50,1,1
42,2,13,1,70,1,1
25,3,13,1,40,1,1
55,2,9,1,45,1,1
58,3,14,1,50,1,1
62,1,9,1,60,1,1
43,2,15,1,40,1,1
57,3,14,1,40,1,0
42,2,16,1,60,1,1
63,2,13,1,32,1,1
47,2,15,1,50,1,1
37,1,13,1,50,1,1
40,1,13,1,60,1,1
43,1,13,1,50,1,1
43,3,15,1,70,1,1
41,2,15,1,60,1,1
32,1,15,1,60,1,1
47,1,13,1,40,1,1
39,3,10,1,60,1,1
53,1,10,1,40,1,1
34,1,13,1,45,1,1
36,1,13,1,40,1,1
47,3,14,1,41,1,1
52,1,11,1,45,1,1
40,2,15,1,60,1,1
42,2,13,1,40,1,1
51,1,14,1,40,1,1
55,1,14,1,20,1,1
38,1,9,1,99,1,1
52,1,10,1,50,1,1
60,3,9,1,40,1,1
55,1,11,1,50,1,1
47,3,14,1,50,1,1
46,1,14,1,40,1,1
35,1,14,1,45,1,1
59,2,13,1,50,1,1
57,1,14,1,45,1,1
46,1,10,1,50,1,1
46,3,14,1,40,1,1
52,1,9,1,40,1,1
45,1,16,1,30,1,0
37,1,13,1,40,1,1
46,1,14,1,45,1,1
44,1,13,1,50,1,1
45,1,11,1,50,1,1
43,1,9,1,52,1,1
54,3,14,1,40,1,1
50,1,14,1,40,1,1
51,1,13,1,60,1,1
45,1,13,1,40,1,1
36,1,14,1,60,1,1
27,1,13,1,50,1,1
36,1,13,1,35,1,1
53,1,14,1,55,1,1
51,3,14,1,35,1,1
28,1,13,1,24,1,0
47,2,10,1,40,1,1
45,1,13,1,60,1,1
45,3,14,1,35,1,0
39,2,15,1,50,1,1
39,1,13,1,40,1,1
55,2,14,1,40,1,1
62,1,10,1,98,1,1
49,1,13,1,50,1,1
53,2,14,1,40,1,1
31,1,14,1,48,1,1
42,2,9,1,60,1,1
39,1,13,1,45,1,1
60,2,13,1,45,1,1
26,1,15,1,40,1,1
37,1,14,1,40,1,1
45,3,13,1,60,1,1
37,1,12,1,45,1,1
32,1,13,1,45,1,1
39,2,9,1,40,1,1
58,2,6,1,35,1,0
45,1,14,1,43,1,1
41,1,13,1,45,1,1
36,2,9,1,65,1,1
51,3,14,1,60,1,1
39,1,10,1,62,1,1
56,2,15,1,50,1,1
53,3,9,1,40,1,1
40,2,11,1,15,1,0
57,1,14,1,40,1,1
50,3,9,1,35,1,1
34,1,15,1,55,1,1
35,1,13,1,30,1,0
30,2,9,1,15,1,1
53,3,14,1,55,1,1
31,3,16,1,70,1,1
37,1,13,1,60,1,1
34,1,13,1,50,1,1
36,1,14,1,50,1,1
40,1,13,1,50,1,1
51,1,10,1,60,1,1
33,1,9,1,45,1,1
40,1,16,1,20,1,0
50,2,4,1,63,1,1
46,2,14,1,60,1,1
54,1,16,1,50,1,1
39,1,14,1,24,1,0
54,2,10,1,40,1,1
31,1,16,1,99,1,1
51,1,14,1,50,1,1
55,1,16,1,55,1,1
36,1,14,1,40,1,1
41,2,13,1,60,1,1
56,2,10,1,50,1,0
38,1,13,1,40,1,1
47,1,9,1,45,1,1
39,3,14,1,45,1,1
59,1,13,1,50,1,1
54,1,16,1,43,1,1
54,2,13,1,35,1,0
31,1,13,1,55,1,1
59,2,10,1,48,1,1
46,1,14,1,50,1,1
57,1,16,1,40,1,1
36,1,14,1,44,1,0
44,1,13,1,40,1,1
33,1,15,1,50,1,1
54,1,10,1,18,1,1
55,1,14,1,60,1,1
36,1,14,1,50,1,1
49,3,15,1,60,1,0
41,1,15,1,50,1,1
40,1,16,1,45,1,1
43,1,13,1,50,1,1
39,3,14,1,20,1,0
26,0,13,1,40,1,0
48,1,15,1,45,1,1
43,1,13,1,50,1,1
42,2,13,1,60,1,1
36,1,13,1,45,1,1
39,1,14,3,40,0,1
21,1,10,3,40,0,1
23,1,10,3,40,0,0
47,1,9,0,40,0,0
30,1,9,3,40,0,0
35,1,10,3,40,0,1
26,1,10,3,40,0,0
26,1,13,3,55,0,1
41,3,14,0,40,0,1
30,3,10,3,40,0,1
28,1,9,2,40,0,1
56,1,9,4,40,0,0
35,1,9,3,40,0,1
34,1,11,3,40,0,0
29,1,9,3,35,0,1
23,1,12,3,20,0,0
24,3,9,3,40,0,0
62,1,10,0,40,0,1
77,2,10,4,1,0,0
47,1,15,1,60,1,0
48,2,16,1,60,1,1
42,2,15,1,50,1,1
31,1,14,1,40,1,1
43,1,13,1,40,1,1
50,1,16,1,65,1,1
36,1,13,1,50,1,1
49,3,14,1,40,1,1
38,1,9,1,40,1,1
48,3,16,1,46,1,0
46,1,13,1,40,1,1
56,2,9,1,60,1,1
37,1,9,1,45,1,1
51,1,9,1,40,1,1
43,1,14,1,40,1,1
46,3,9,1,40,0,1
42,3,14,1,60,1,1
45,1,10,1,35,1,0
23,1,10,1,40,0,1
45,1,13,1,40,1,1
30,3,9,1,40,0,1
49,3,16,1,60,1,1
49,1,12,1,40,1,0
57,1,15,1,40,1,1
42,2,13,1,80,1,1
43,3,10,1,40,1,0
43,1,10,1,40,1,1
42,1,15,1,60,1,1
53,1,13,1,55,1,1
40,3,14,1,48,1,1
46,1,14,1,40,1,1
41,1,13,1,60,1,1
49,1,13,1,40,1,1
31,2,13,1,50,1,1
34,1,14,1,50,1,1
40,3,14,1,40,1,1
50,1,10,1,38,1,0
54,1,9,1,40,1,1
49,1,10,1,50,1,1
44,2,14,1,60,1,0
57,3,13,1,40,1,1
28,3,14,1,55,0,0
57,1,10,1,40,1,1
59,1,13,1,43,1,1
38,1,12,1,40,1,0
36,2,9,1,60,1,1
55,1,10,1,40,1,1
34,2,9,1,60,1,1
51,1,10,1,50,1,1
46,1,9,1,70,1,1
33,1,14,1,45,1,1
31,3,13,1,35,1,0
31,1,13,1,35,1,0
59,2,9,1,52,1,1
48,1,12,1,40,1,1
33,1,13,1,45,1,1
46,1,10,1,50,1,1
53,1,13,1,40,1,1
39,1,14,1,18,1,0
44,2,9,1,40,1,1
45,1,14,1,50,1,1
42,3,13,1,40,1,1
24,2,4,1,40,1,1
57,1,13,1,40,1,1
51,3,13,1,40,1,1
50,1,13,1,40,1,1
50,1,13,1,50,1,1
52,1,14,1,50,1,1
46,2,13,1,42,1,1
44,1,10,1,40,1,1
47,2,13,1,45,1,1
36,1,13,1,45,1,1
34,1,10,1,38,1,1
49,1,13,1,50,1,1
45,1,13,1,45,1,1
46,1,13,1,50,1,1
53,2,13,1,48,1,1
63,3,16,1,50,1,1
52,1,13,1,40,1,1
44,1,13,1,40,1,1
37,1,13,1,40,1,1
44,3,16,1,40,1,1
53,1,13,1,40,1,1
32,1,13,1,40,1,1
50,3,16,1,45,1,1
42,3,14,1,40,1,1
50,1,12,1,40,1,1
33,1,13,1,55,1,1
50,3,14,1,40,1,0
32,1,13,1,32,1,0
41,1,9,1,40,1,1
54,1,9,1,55,1,1
34,1,12,1,50,1,1
41,2,13,1,55,1,1
39,2,15,1,50,1,1
42,3,14,1,40,1,1
31,1,13,1,45,1,1
45,1,11,1,42,1,1
41,1,13,1,42,1,1
48,1,14,1,38,1,0
32,2,9,1,55,1,1
41,1,10,1,40,1,1
31,2,13,1,40,1,0
30,2,10,1,40,1,1
41,1,10,1,40,1,0
48,1,14,1,40,1,1
60,3,16,1,40,1,1
38,2,13,1,65,1,1
46,1,3,1,40,0,1
28,1,10,1,55,1,1
64,2,16,1,60,1,1
31,0,13,1,20,1,0
42,1,14,1,50,1,1
43,1,11,1,32,1,0
61,2,10,1,35,1,1
48,1,16,1,40,1,1
46,3,14,1,45,1,1
44,1,13,1,50,1,1
39,3,10,1,50,1,1
46,2,13,1,40,1,1
48,1,16,1,50,1,1
27,1,7,1,40,1,1
22,3,10,1,37,0,1
51,3,13,1,40,0,1
48,3,10,1,40,1,1
52,1,11,1,40,1,1
31,2,9,1,40,1,1
53,1,13,1,40,1,1
51,1,14,1,60,1,1
46,3,16,1,52,1,0
25,1,10,1,36,1,1
46,1,9,1,40,1,1
57,2,9,1,30,1,1
44,1,13,1,50,1,1
42,1,9,1,50,1,1
42,1,14,1,40,1,1
30,1,13,1,55,1,1
54,3,16,1,50,1,1
46,2,15,1,45,1,1
33,1,13,1,50,1,1
38,1,10,1,50,1,1
50,1,14,1,45,1,1
